family_accession,family_id
PF11869.8,DUF3389
PF07997.11,DUF1694
PF09431.10,DUF2013
PF00814.25,Peptidase_M22
PF15860.5,DUF4728
PF00635.26,Motile_Sperm
PF11931.8,DUF3449
PF08546.11,ApbA_C
PF17123.5,zf-RING_11
PF16326.5,ABC_tran_CTD
PF08742.11,C8
PF04298.12,Zn_peptidase_2
PF16727.5,REV1_C
PF04815.15,Sec23_helical
PF06150.12,ChaB
PF09505.10,Dimeth_Pyl
PF00615.19,RGS
PF00684.19,DnaJ_CXXCXGXG
PF12728.7,HTH_17
PF13309.6,HTH_22
PF04433.17,SWIRM
PF12006.8,DUF3500
PF01165.20,Ribosomal_S21
PF00986.21,DNA_gyraseB_C
PF16201.5,NopRA1
PF13649.6,Methyltransf_25
PF14805.6,THDPS_N_2
PF04972.17,BON
PF18582.1,HZS_alpha
PF04982.13,HPP
PF00140.20,Sigma70_r1_2
PF16674.5,UCH_N
PF00074.20,RnaseA
PF01257.19,2Fe-2S_thioredx
PF17424.2,DUF5411
PF02578.15,Cu-oxidase_4
PF01887.16,SAM_adeno_trans
PF10437.9,Lip_prot_lig_C
PF02772.16,S-AdoMet_synt_M
PF02466.19,Tim17
PF04892.12,VanZ
PF17827.1,PrmC_N
PF17102.5,Stealth_CR3
PF01255.19,Prenyltransf
PF01031.20,Dynamin_M
PF06422.12,PDR_CDR
PF06227.12,Poxvirus
PF12572.8,DUF3752
PF02446.17,Glyco_hydro_77
PF14117.6,DUF4287
PF08718.11,GLTP
PF06834.11,TraU
PF10453.9,NUFIP1
PF00447.17,HSF_DNA-bind
PF01055.26,Glyco_hydro_31
PF13829.6,DUF4191
PF07683.14,CobW_C
PF05013.12,FGase
PF16124.5,RecQ_Zn_bind
PF09581.10,Spore_III_AF
PF14226.6,DIOX_N
PF05975.12,EcsB
PF12924.7,APP_Cu_bd
PF01969.17,DUF111
PF10150.9,RNase_E_G
PF00521.20,DNA_topoisoIV
PF13472.6,Lipase_GDSL_2
PF08029.11,HisG_C
PF00241.20,Cofilin_ADF
PF10433.9,MMS1_N
PF01424.22,R3H
PF10404.9,BHD_2
PF04492.13,Phage_rep_O
PF11319.8,VasI
PF06968.13,BATS
PF01957.18,NfeD
PF13431.6,TPR_17
PF08299.11,Bac_DnaA_C
PF02407.16,Viral_Rep
PF04287.12,DUF446
PF13556.6,HTH_30
PF03442.14,CBM_X2
PF01179.20,Cu_amine_oxid
PF02518.26,HATPase_c
PF03788.14,LrgA
PF17011.5,DUF5093
PF18821.1,LPD7
PF00476.20,DNA_pol_A
PF01796.17,OB_aCoA_assoc
PF03094.15,Mlo
PF12599.8,DUF3768
PF05802.11,EspB
PF05703.11,Auxin_canalis
PF13711.6,DUF4160
PF06702.12,Fam20C
PF12626.7,PolyA_pol_arg_C
PF13365.6,Trypsin_2
PF00734.18,CBM_1
PF13545.6,HTH_Crp_2
PF11327.8,Egh16-like
PF14969.6,DUF4508
PF12905.7,Glyco_hydro_101
PF02198.16,SAM_PNT
PF01066.21,CDP-OH_P_transf
PF01219.19,DAGK_prokar
PF02787.19,CPSase_L_D3
PF00453.18,Ribosomal_L20
PF03745.14,DUF309
PF02984.19,Cyclin_C
PF03150.14,CCP_MauG
PF17186.4,Lipocalin_9
PF04591.12,DUF596
PF09468.10,RNase_H2-Ydr279
PF09886.9,DUF2113
PF03399.16,SAC3_GANP
PF00238.19,Ribosomal_L14
PF02951.14,GSH-S_N
PF11829.8,DUF3349
PF00348.17,polyprenyl_synt
PF15879.5,MWFE
PF01809.18,YidD
PF02881.19,SRP54_N
PF04176.13,TIP41
PF01339.17,CheB_methylest
PF13241.6,NAD_binding_7
PF02654.15,CobS
PF08522.10,DUF1735
PF03127.14,GAT
PF03755.13,YicC_N
PF13637.6,Ank_4
PF12307.8,DUF3631
PF02033.18,RBFA
PF10674.9,Ycf54
PF10385.9,RNA_pol_Rpb2_45
PF13913.6,zf-C2HC_2
PF03635.17,Vps35
PF07750.11,GcrA
PF06135.12,IreB
PF02241.18,MCR_beta
PF01195.19,Pept_tRNA_hydro
PF10719.9,ComFB
PF01967.21,MoaC
PF01975.17,SurE
PF07695.11,7TMR-DISM_7TM
PF06508.13,QueC
PF13430.6,DUF4112
PF06565.12,DUF1126
PF13205.6,Big_5
PF18075.1,FtsX_ECD
PF03733.13,YccF
PF03799.15,FtsQ
PF16878.5,SIX1_SD
PF17766.1,fn3_6
PF18093.1,Trm5_N
PF03223.15,V-ATPase_C
PF04001.13,Vhr1
PF13635.6,DUF4143
PF10483.9,Elong_Iki1
PF05025.13,RbsD_FucU
PF00047.25,ig
PF03705.15,CheR_N
PF02464.17,CinA
PF17001.5,T3SS_basalb_I
PF03864.15,Phage_cap_E
PF02921.14,UCR_TM
PF07664.12,FeoB_C
PF01778.17,Ribosomal_L28e
PF11967.8,RecO_N
PF10304.9,RTP1_C2
PF07540.11,NOC3p
PF09262.11,PEX-1N
PF07308.13,DUF1456
PF00020.18,TNFR_c6
PF02465.18,FliD_N
PF01988.19,VIT1
PF03796.15,DnaB_C
PF08776.11,VASP_tetra
PF01885.16,PTS_2-RNA
PF06911.12,Senescence
PF05346.11,DUF747
PF18181.1,SLATT_1
PF18202.1,TQ
PF16070.5,TMEM132
PF13915.6,DUF4210
PF04973.12,NMN_transporter
PF07298.11,NnrU
PF10095.9,DUF2333
PF13460.6,NAD_binding_10
PF03453.17,MoeA_N
PF13664.6,DUF4149
PF05949.12,DUF881
PF04161.13,Arv1
PF06418.14,CTP_synth_N
PF01669.17,Myelin_MBP
PF07538.11,ChW
PF01172.18,SBDS
PF00923.19,TAL_FSA
PF02116.15,STE2
PF01842.25,ACT
PF17956.1,NAPRTase_C
PF13442.6,Cytochrome_CBB3
PF16861.5,Carbam_trans_C
PF14056.6,DUF4250
PF13823.6,ADH_N_assoc
PF10993.8,DUF2818
PF03658.14,Ub-RnfH
PF17136.4,ribosomal_L24
PF13004.7,BACON
PF03030.16,H_PPase
PF05192.18,MutS_III
PF03095.15,PTPA
PF03924.13,CHASE
PF16874.5,Glyco_hydro_36C
PF10078.9,DUF2316
PF07661.13,MORN_2
PF04424.13,MINDY_DUB
PF10247.9,Romo1
PF02823.16,ATP-synt_DE_N
PF01894.17,UPF0047
PF06373.11,CART
PF14693.6,Ribosomal_TL5_C
PF12511.8,DUF3716
PF11528.8,DUF3224
PF17912.1,OB_MalK
PF14287.6,DUF4368
PF01960.18,ArgJ
PF02583.17,Trns_repr_metal
PF12670.7,DUF3792
PF14516.6,AAA_35
PF07985.12,SRR1
PF00285.21,Citrate_synt
PF12352.8,V-SNARE_C
PF08736.11,FA
PF04791.16,LMBR1
PF02880.16,PGM_PMM_III
PF05031.12,NEAT
PF01282.19,Ribosomal_S24e
PF00842.21,Ala_racemase_C
PF01634.18,HisG
PF01742.17,Peptidase_M27
PF00553.19,CBM_2
PF06977.11,SdiA-regulated
PF14872.6,GHL5
PF05873.12,Mt_ATP-synt_D
PF13976.6,gag_pre-integrs
PF02668.16,TauD
PF13677.6,MotB_plug
PF00497.20,SBP_bac_3
PF11916.8,Vac14_Fig4_bd
PF18132.1,Tyosinase_C
PF04617.13,Hox9_act
PF07194.11,P2
PF03063.20,Prismane
PF12263.8,DUF3611
PF00092.28,VWA
PF10588.9,NADH-G_4Fe-4S_3
PF00213.18,OSCP
PF14535.6,AMP-binding_C_2
PF16115.5,DUF4831
PF17851.1,GH43_C2
PF15063.6,TC1
PF12555.8,TPPK_C
PF02410.15,RsfS
PF06420.12,Mgm101p
PF01068.21,DNA_ligase_A_M
PF05016.15,ParE_toxin
PF04074.12,DUF386
PF07556.11,DUF1538
PF10242.9,L_HMGIC_fpl
PF14849.6,YidC_periplas
PF06676.11,DUF1178
PF07804.12,HipA_C
PF02673.18,BacA
PF01820.21,Dala_Dala_lig_N
PF04117.12,Mpv17_PMP22
PF02843.16,GARS_C
PF14604.6,SH3_9
PF04344.13,CheZ
PF01702.18,TGT
PF02244.16,Propep_M14
PF04264.13,YceI
PF18381.1,YcaO_C
PF00815.20,Histidinol_dh
PF10412.9,TrwB_AAD_bind
PF01949.16,DUF99
PF04939.12,RRS1
PF18451.1,CdiA_C
PF01625.21,PMSR
PF05783.11,DLIC
PF15405.6,PH_5
PF03636.15,Glyco_hydro_65N
PF12081.8,GldM_N
PF01867.16,Cas_Cas1
PF14899.6,DUF4492
PF00583.25,Acetyltransf_1
PF11797.8,DUF3324
PF09828.9,Chrome_Resist
PF03840.14,SecG
PF16208.5,Keratin_2_head
PF10568.9,Tom37
PF14575.6,EphA2_TM
PF01649.18,Ribosomal_S20p
PF02264.15,LamB
PF02260.20,FATC
PF17763.1,Asparaginase_C
PF01741.18,MscL
PF18101.1,Pan3_PK
PF00777.18,Glyco_transf_29
PF18791.1,Transp_inhibit
PF07769.14,PsiF_repeat
PF07963.12,N_methyl
PF12439.8,GDE_N
PF03645.13,Tctex-1
PF08331.10,DUF1730
PF18660.1,Tsi6
PF08529.11,NusA_N
PF14929.6,TAF1_subA
PF17757.1,UvrB_inter
PF02277.17,DBI_PRT
PF14360.6,PAP2_C
PF14660.6,DUF4458
PF00410.19,Ribosomal_S8
PF07760.11,DUF1616
PF07336.11,ABATE
PF04542.14,Sigma70_r2
PF00944.19,Peptidase_S3
PF05633.11,BPS1
PF04209.13,HgmA
PF17881.1,DUF5590
PF00491.21,Arginase
PF12359.8,DUF3645
PF01084.20,Ribosomal_S18
PF08747.11,DUF1788
PF07790.11,Pilin_N
PF03481.13,SUA5
PF17920.1,TetR_C_16
PF13499.6,EF-hand_7
PF04911.12,ATP-synt_J
PF14571.6,Di19_C
PF02844.15,GARS_N
PF03405.14,FA_desaturase_2
PF17131.4,LolA_like
PF00885.19,DMRL_synthase
PF03822.14,NAF
PF17802.1,SpaA
PF00095.21,WAP
PF13932.6,GIDA_assoc
PF07391.11,NPR
PF14389.6,Lzipper-MIP1
PF06149.12,DUF969
PF04376.13,ATE_N
PF13742.6,tRNA_anti_2
PF13407.6,Peripla_BP_4
PF00194.21,Carb_anhydrase
PF18478.1,PIN_10
PF00880.18,Nebulin
PF18871.1,HEPN_Toprim_N
PF14691.6,Fer4_20
PF06245.11,DUF1015
PF18545.1,HalOD1
PF01826.17,TIL
PF05056.12,DUF674
PF02405.16,MlaE
PF05506.12,DUF756
PF00080.20,Sod_Cu
PF08127.13,Propeptide_C1
PF16916.5,ZT_dimer
PF17803.1,Cadherin_4
PF14159.6,CAAD
PF04339.12,FemAB_like
PF10557.9,Cullin_Nedd8
PF01725.16,Ham1p_like
PF07851.13,TMPIT
PF11644.8,DUF3256
PF16347.5,DUF4976
PF03313.15,SDH_alpha
PF17980.1,ADD_DNMT3
PF02508.14,Rnf-Nqr
PF05173.14,DapB_C
PF06883.12,RNA_pol_Rpa2_4
PF02401.18,LYTB
PF16957.5,Mal_decarbox_Al
PF12002.8,MgsA_C
PF02194.15,PXA
PF03736.17,EPTP
PF11274.8,DUF3074
PF00731.20,AIRC
PF17919.1,RT_RNaseH_2
PF13730.6,HTH_36
PF00231.19,ATP-synt
PF02674.16,Colicin_V
PF14698.6,ASL_C2
PF05088.12,Bac_GDH
PF02503.17,PP_kinase
PF07739.13,TipAS
PF02436.18,PYC_OADA
PF16130.5,DUF4842
PF18717.1,CxC4
PF07715.15,Plug
PF04390.12,LptE
PF17939.1,TetR_C_30
PF03834.14,Rad10
PF11316.8,Rhamno_transf
PF09150.10,Carot_N
PF16177.5,ACAS_N
PF00169.29,PH
PF00830.19,Ribosomal_L28
PF07331.11,TctB
PF04408.23,HA2
PF13228.6,DUF4037
PF12392.8,DUF3656
PF03746.16,LamB_YcsF
PF04102.12,SlyX
PF04127.15,DFP
PF12951.7,PATR
PF00912.22,Transgly
PF12257.8,IML1
PF08818.11,DUF1801
PF18741.1,MTES_1575
PF03345.14,DDOST_48kD
PF01544.18,CorA
PF12315.8,DA1-like
PF00164.25,Ribosom_S12_S23
PF01480.17,PWI
PF09223.11,ZinT
PF13233.6,Complex1_LYR_2
PF07751.11,Abi_2
PF10035.9,DUF2179
PF00677.17,Lum_binding
PF08159.12,NUC153
PF03148.14,Tektin
PF01687.17,Flavokinase
PF01105.24,EMP24_GP25L
PF16906.5,Ribosomal_L26
PF14086.6,DUF4266
PF02482.19,Ribosomal_S30AE
PF11152.8,CCB2_CCB4
PF02816.18,Alpha_kinase
PF16679.5,CDT1_C
PF00550.25,PP-binding
PF16199.5,Radical_SAM_C
PF05002.15,SGS
PF02738.18,Ald_Xan_dh_C2
PF04784.14,DUF547
PF14279.6,HNH_5
PF12674.7,Zn_ribbon_2
PF08540.10,HMG_CoA_synt_C
PF08846.10,DUF1816
PF18164.1,GNAT_C
PF18195.1,GatD_N
PF02225.22,PA
PF05649.13,Peptidase_M13_N
PF13692.6,Glyco_trans_1_4
PF05517.12,p25-alpha
PF02245.16,Pur_DNA_glyco
PF05119.12,Terminase_4
PF08158.12,NUC130_3NT
PF03808.13,Glyco_tran_WecB
PF01455.18,HupF_HypC
PF11262.8,Tho2
PF03880.15,DbpA
PF00673.21,Ribosomal_L5_C
PF10391.9,DNA_pol_lambd_f
PF01205.19,UPF0029
PF08239.11,SH3_3
PF07348.12,Syd
PF04833.15,COBRA
PF03484.15,B5
PF13193.6,AMP-binding_C
PF07475.12,Hpr_kinase_C
PF06011.12,TRP
PF08328.11,ASL_C
PF11992.8,DUF3488
PF13144.6,ChapFlgA
PF13148.6,DUF3987
PF11897.8,DUF3417
PF05781.12,MRVI1
PF03152.14,UFD1
PF04879.16,Molybdop_Fe4S4
PF13668.6,Ferritin_2
PF04577.14,DUF563
PF11175.8,DUF2961
PF08455.10,SNF2_assoc
PF05201.15,GlutR_N
PF01477.23,PLAT
PF07884.14,VKOR
PF07729.12,FCD
PF02424.15,ApbE
PF01628.21,HrcA
PF06584.13,DIRP
PF05927.11,Penaeidin
PF00013.29,KH_1
PF10989.8,DUF2808
PF02542.16,YgbB
PF09597.10,IGR
PF05232.12,BTP
PF10029.9,DUF2271
PF02350.19,Epimerase_2
PF00560.33,LRR_1
PF06170.12,DUF983
PF16954.5,HRG
PF08338.11,DUF1731
PF12344.8,UvrB
PF04439.12,Adenyl_transf
PF01182.20,Glucosamine_iso
PF01168.20,Ala_racemase_N
PF03747.14,ADP_ribosyl_GH
PF16193.5,AAA_assoc_2
PF02733.17,Dak1
PF06083.11,IL17
PF02359.18,CDC48_N
PF01040.18,UbiA
PF12007.8,DUF3501
PF01871.17,AMMECR1
PF10016.9,DUF2259
PF00501.28,AMP-binding
PF01730.16,UreF
PF02953.15,zf-Tim10_DDP
PF14716.6,HHH_8
PF13512.6,TPR_18
PF03605.14,DcuA_DcuB
PF08387.10,FBD
PF18584.1,SYCP2_SLD
PF01523.16,PmbA_TldD
PF09719.10,C_GCAxxG_C_C
PF08687.11,ASD2
PF14373.6,Imm_superinfect
PF14842.6,FliG_N
PF10496.9,Syntaxin-18_N
PF16656.5,Pur_ac_phosph_N
PF05497.12,Destabilase
PF05402.12,PqqD
PF07878.11,RHH_5
PF04371.15,PAD_porph
PF12032.8,CLIP
PF00468.17,Ribosomal_L34
PF14641.6,HTH_44
PF00515.28,TPR_1
PF13737.6,DDE_Tnp_1_5
PF05580.12,Peptidase_S55
PF00805.22,Pentapeptide
PF08634.10,Pet127
PF01472.20,PUA
PF07244.15,POTRA
PF03185.15,CaKB
PF13901.6,zf-RING_9
PF02618.16,YceG
PF08943.10,CsiD
PF00475.18,IGPD
PF00160.21,Pro_isomerase
PF09106.11,SelB-wing_2
PF11148.8,DUF2922
PF18504.1,Csm1_N
PF12949.7,HeH
PF10105.9,DUF2344
PF06485.11,Tab2_like
PF09932.9,DUF2164
PF10683.9,DBD_Tnp_Hermes
PF00586.24,AIRS
PF00115.20,COX1
PF06305.11,LapA_dom
PF16099.5,RMI1_C
PF11993.8,Ribosomal_S4Pg
PF13234.6,rRNA_proc-arch
PF04566.13,RNA_pol_Rpb2_4
PF02167.15,Cytochrom_C1
PF18575.1,HAMP_N3
PF14484.6,FISNA
PF08497.10,Radical_SAM_N
PF02096.20,60KD_IMP
PF13602.6,ADH_zinc_N_2
PF01590.26,GAF
PF05521.11,Phage_H_T_join
PF01408.22,GFO_IDH_MocA
PF14518.6,Haem_oxygenas_2
PF14822.6,Vasohibin
PF08510.12,PIG-P
PF16421.5,E2F_CC-MB
PF09764.9,Nt_Gln_amidase
PF11991.8,Trp_DMAT
PF01740.21,STAS
PF02924.14,HDPD
PF04714.13,BCL_N
PF00108.23,Thiolase_N
PF10312.9,Cactin_mid
PF14678.6,FANCI_S4
PF12838.7,Fer4_7
PF10206.9,WRW
PF09834.9,DUF2061
PF16003.5,DUF4776
PF01929.17,Ribosomal_L14e
PF07634.11,RtxA
PF00327.20,Ribosomal_L30
PF04699.14,P16-Arc
PF10986.8,DUF2796
PF00486.28,Trans_reg_C
PF02547.15,Queuosine_synth
PF07876.12,Dabb
PF00311.17,PEPcase
PF13801.6,Metal_resist
PF02822.14,Antistasin
PF14490.6,HHH_4
PF04187.13,Cofac_haem_bdg
PF05137.13,PilN
PF12823.7,DUF3817
PF08625.11,Utp13
PF01019.21,G_glu_transpept
PF08323.11,Glyco_transf_5
PF05050.12,Methyltransf_21
PF10635.9,DisA-linker
PF03836.15,RasGAP_C
PF04122.12,CW_binding_2
PF17578.2,DUF5481
PF02873.16,MurB_C
PF00730.25,HhH-GPD
PF02794.16,HlyC
PF12708.7,Pectate_lyase_3
PF10197.9,Cir_N
PF01845.17,CcdB
PF01924.16,HypD
PF00333.20,Ribosomal_S5
PF13476.6,AAA_23
PF00003.22,7tm_3
PF18698.1,HisK_sensor
PF00465.19,Fe-ADH
PF01104.17,Bunya_NS-S
PF11062.8,DUF2863
PF07553.11,Lipoprotein_Ltp
PF05191.14,ADK_lid
PF00330.20,Aconitase
PF12296.8,HsbA
PF15017.6,WRNPLPNID
PF00139.19,Lectin_legB
PF15410.6,PH_9
PF00165.23,HTH_AraC
PF02383.18,Syja_N
PF13423.6,UCH_1
PF00362.18,Integrin_beta
PF01200.18,Ribosomal_S28e
PF17162.4,DUF5118
PF10644.9,Misat_Tub_SegII
PF01546.28,Peptidase_M20
PF13518.6,HTH_28
PF18823.1,InPase
PF03193.16,RsgA_GTPase
PF06824.11,Glyco_hydro_125
PF06041.11,DUF924
PF03727.16,Hexokinase_2
PF10431.9,ClpB_D2-small
PF04457.12,MJ1316
PF10120.9,ThiP_synth
PF03608.13,EII-GUT
PF03516.13,Filaggrin
PF13920.6,zf-C3HC4_3
PF16019.5,CSRNP_N
PF08654.10,DASH_Dad2
PF06695.11,Sm_multidrug_ex
PF02545.14,Maf
PF03990.14,DUF348
PF00872.18,Transposase_mut
PF13167.6,GTP-bdg_N
PF00006.25,ATP-synt_ab
PF17751.1,SKICH
PF13445.6,zf-RING_UBOX
PF12308.8,Noelin-1
PF16209.5,PhoLip_ATPase_N
PF05602.12,CLPTM1
PF05985.11,EutC
PF13620.6,CarboxypepD_reg
PF05195.16,AMP_N
PF00343.20,Phosphorylase
PF12767.7,SAGA-Tad1
PF01790.18,LGT
PF10409.9,PTEN_C2
PF13469.6,Sulfotransfer_3
PF14256.6,YwiC
PF08192.11,Peptidase_S64
PF17876.1,CSD2
PF10071.9,DUF2310
PF08771.11,FRB_dom
PF04402.14,SIMPL
PF07562.14,NCD3G
PF17862.1,AAA_lid_3
PF04865.14,Baseplate_J
PF05736.11,OprF
PF12806.7,Acyl-CoA_dh_C
PF08439.10,Peptidase_M3_N
PF05175.14,MTS
PF10217.9,DUF2039
PF04898.14,Glu_syn_central
PF02626.15,CT_A_B
PF12271.8,Chs7
PF04230.13,PS_pyruv_trans
PF00828.19,Ribosomal_L27A
PF15887.5,Peptidase_Mx
PF15366.6,DUF4597
PF05254.12,UPF0203
PF02671.21,PAH
PF12927.7,DUF3835
PF12009.8,Telomerase_RBD
PF00306.27,ATP-synt_ab_C
PF02883.20,Alpha_adaptinC2
PF03911.16,Sec61_beta
PF00650.20,CRAL_TRIO
PF01316.21,Arg_repressor
PF04463.12,DUF523
PF05832.12,DUF846
PF00200.23,Disintegrin
PF18705.1,DUF5643
PF05792.13,Candida_ALS
PF00478.25,IMPDH
PF08698.11,Fcf2
PF02187.17,GAS2
PF01632.19,Ribosomal_L35p
PF13682.6,CZB
PF18863.1,AbiJ_NTD4
PF13559.6,DUF4129
PF02739.16,5_3_exonuc_N
PF03123.15,CAT_RBD
PF16191.5,E1_4HB
PF03988.12,DUF347
PF14667.6,Polysacc_synt_C
PF16489.5,GAIN
PF15330.6,SIT
PF07228.12,SpoIIE
PF01393.19,Chromo_shadow
PF12997.7,DUF3881
PF09511.10,RNA_lig_T4_1
PF02505.14,MCR_D
PF06912.11,DUF1275
PF08153.12,NGP1NT
PF04634.12,DUF600
PF11295.8,DUF3096
PF00444.18,Ribosomal_L36
PF02730.15,AFOR_N
PF00711.19,Defensin_beta
PF17656.1,ChapFlgA_N
PF14715.6,FixP_N
PF02511.15,Thy1
PF00557.24,Peptidase_M24
PF07574.13,SMC_Nse1
PF06475.11,Glycolipid_bind
PF00189.20,Ribosomal_S3_C
PF12409.8,P5-ATPase
PF12654.7,DUF3786
PF14551.6,MCM_N
PF10394.9,Hat1_N
PF07546.13,EMI
PF01430.19,HSP33
PF09608.10,Alph_Pro_TM
PF02773.16,S-AdoMet_synt_C
PF03611.14,EIIC-GAT
PF11208.8,DUF2992
PF11855.8,DUF3375
PF02104.15,SURF1
PF17863.1,AAA_lid_2
PF02495.17,TGBp3
PF01920.20,Prefoldin_2
PF01724.16,DUF29
PF06465.13,DUF1087
PF02213.16,GYF
PF00479.22,G6PD_N
PF16221.5,HTH_47
PF18840.1,LPD25
PF18055.1,RPN6_N
PF00812.17,Ephrin
PF15997.5,DUF4772
PF09768.9,Peptidase_M76
PF07261.11,DnaB_2
PF13714.6,PEP_mutase
PF09787.9,Golgin_A5
PF14381.6,EDR1
PF00401.20,ATP-synt_DE
PF09603.10,Fib_succ_major
PF04092.13,SAG
PF00503.20,G-alpha
PF02014.16,Reeler
PF14683.6,CBM-like
PF06747.13,CHCH
PF15341.6,SLX9
PF07100.11,ASRT
PF01281.19,Ribosomal_L9_N
PF02601.15,Exonuc_VII_L
PF00235.19,Profilin
PF07741.13,BRF1
PF08436.12,DXP_redisom_C
PF02771.16,Acyl-CoA_dh_N
PF00823.19,PPE
PF18077.1,DUF5595
PF12567.8,CD45
PF14744.6,WASH-7_mid
PF12686.7,DUF3800
PF05861.12,PhnI
PF02991.16,Atg8
PF01018.22,GTP1_OBG
PF02255.16,PTS_IIA
PF03372.23,Exo_endo_phos
PF00482.23,T2SSF
PF06207.11,DUF1002
PF08293.11,MRP-S33
PF13521.6,AAA_28
PF04039.13,MnhB
PF11799.8,IMS_C
PF00203.21,Ribosomal_S19
PF09850.9,DotU
PF14359.6,DUF4406
PF01352.27,KRAB
PF08899.11,DUF1844
PF02233.16,PNTB
PF12928.7,tRNA_int_end_N2
PF06904.12,Extensin-like_C
PF02089.15,Palm_thioest
PF01206.17,TusA
PF15604.6,Ntox15
PF09383.10,NIL
PF00352.21,TBP
PF12138.8,Spherulin4
PF02342.18,TerD
PF06807.14,Clp1
PF09356.10,Phage_BR0599
PF13747.6,DUF4164
PF14420.6,Clr5
PF06629.12,MipA
PF04356.12,DUF489
PF04739.15,AMPKBI
PF03590.15,AsnA
PF10134.9,RPA
PF10996.8,Beta-Casp
PF18041.1,MapZ_EC1
PF00763.23,THF_DHG_CYH
PF18324.1,TT1725
PF08050.12,Tet_res_leader
PF00883.21,Peptidase_M17
PF04810.15,zf-Sec23_Sec24
PF02020.18,W2
PF04958.12,AstA
PF07686.17,V-set
PF13788.6,DUF4180
PF17993.1,HA70_C
PF18294.1,Pept_S41_N
PF18435.1,EstA_Ig_like
PF13249.6,SQHop_cyclase_N
PF02877.14,PARP_reg
PF11913.8,DUF3431
PF03631.15,Virul_fac_BrkB
PF13878.6,zf-C2H2_3
PF13288.6,DXPR_C
PF03100.15,CcmE
PF00005.27,ABC_tran
PF04314.13,PCuAC
PF00713.17,Hirudin
